NPROCS NNODES ILINES TIME DEVIATION
12 1 1920 471.6082 1.3580
24 2 1920 237.2242 1.4639
48 4 1920 120.5852 1.4075
96 8 1920 61.9062 .6403
120 10 1920 50.6684 1.8252
240 10 1920 37.9602 .3475
