NPROCS NNODES ILINES TIME DEVIATION
12 1 1920 404.5570 .4440
24 2 1920 214.2053 .2066
48 4 1920 119.7848 .1135
96 8 1920 72.7788 .1493
120 10 1920 63.6638 .2549
240 10 1920 100.1458 .3196
