NPROCS NNODES ILINES TIME DEVIATION
10 1 200 419.8735 .4284
10 2 200 201.9184 .2012
10 3 200 158.9276 .3189
10 4 200 117.1452 .1483
10 6 200 75.7294 .2236
10 8 200 76.6460 2.8984
10 10 200 13.9303 .0223
