NPROCS NNODES ILINES TIME DEVIATION
1 1 400 31.2472 .2244
2 1 564 74.5582 .2095
4 2 800 76.8043 .2720
8 4 1128 78.0936 .2803
16 4 1600 150.8891 .4655
24 4 1960 224.0321 .3517
64 8 3200 301.3235 .3853
