NPROCS NNODES ILINES TIME DEVIATION
10 1 200 54.1628 .0565
10 2 200 60.1064 1.0085
10 3 200 58.7116 .2856
10 4 200 60.3342 .4590
10 6 200 60.4973 .5010
10 8 200 62.2277 3.1296
10 10 200 59.5111 .0458
